GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
1400000US36001000100,36001000100,"Census Tract 1, Albany County, New York",858,73,230,64,628,84
1400000US36001000200,36001000200,"Census Tract 2, Albany County, New York",2136,232,433,115,1703,229
1400000US36001000300,36001000300,"Census Tract 3, Albany County, New York",2349,199,907,149,1442,223
1400000US36001000401,36001000401,"Census Tract 4.01, Albany County, New York",1053,74,656,84,397,99
1400000US36001000403,36001000403,"Census Tract 4.03, Albany County, New York",2234,189,1185,131,1049,196
1400000US36001000404,36001000404,"Census Tract 4.04, Albany County, New York",3,6,3,6,0,16
1400000US36001000501,36001000501,"Census Tract 5.01, Albany County, New York",1544,127,433,97,1111,156
1400000US36001000502,36001000502,"Census Tract 5.02, Albany County, New York",936,83,321,63,615,99
1400000US36001000600,36001000600,"Census Tract 6, Albany County, New York",1394,164,130,72,1264,154
1400000US36001000700,36001000700,"Census Tract 7, Albany County, New York",1479,152,480,132,999,160
1400000US36001000800,36001000800,"Census Tract 8, Albany County, New York",901,104,120,64,781,113
1400000US36001001100,36001001100,"Census Tract 11, Albany County, New York",748,76,80,44,668,84
1400000US36001001400,36001001400,"Census Tract 14, Albany County, New York",2829,204,225,86,2604,230
1400000US36001001500,36001001500,"Census Tract 15, Albany County, New York",2263,248,258,115,2005,267
1400000US36001001600,36001001600,"Census Tract 16, Albany County, New York",1824,141,685,79,1139,125
1400000US36001001700,36001001700,"Census Tract 17, Albany County, New York",1937,136,912,121,1025,143
1400000US36001001801,36001001801,"Census Tract 18.01, Albany County, New York",3400,159,2409,178,991,174
1400000US36001001802,36001001802,"Census Tract 18.02, Albany County, New York",1951,118,1241,116,710,137
1400000US36001001901,36001001901,"Census Tract 19.01, Albany County, New York",1179,73,877,86,302,75
1400000US36001001902,36001001902,"Census Tract 19.02, Albany County, New York",1031,108,1001,109,30,30
1400000US36001002000,36001002000,"Census Tract 20, Albany County, New York",2417,196,1093,187,1324,211
1400000US36001002100,36001002100,"Census Tract 21, Albany County, New York",1081,162,202,78,879,156
1400000US36001002200,36001002200,"Census Tract 22, Albany County, New York",1499,100,302,73,1197,122
1400000US36001002300,36001002300,"Census Tract 23, Albany County, New York",936,127,206,65,730,133
1400000US36001002500,36001002500,"Census Tract 25, Albany County, New York",1274,156,207,75,1067,155
1400000US36001002600,36001002600,"Census Tract 26, Albany County, New York",1989,182,738,155,1251,194
1400000US36001012700,36001012700,"Census Tract 127, Albany County, New York",1314,129,377,87,937,139
1400000US36001012800,36001012800,"Census Tract 128, Albany County, New York",1601,140,485,105,1116,168
1400000US36001012900,36001012900,"Census Tract 129, Albany County, New York",1720,130,302,89,1418,138
1400000US36001013000,36001013000,"Census Tract 130, Albany County, New York",2821,158,1967,200,854,211
1400000US36001013100,36001013100,"Census Tract 131, Albany County, New York",1206,96,391,89,815,115
1400000US36001013200,36001013200,"Census Tract 132, Albany County, New York",1470,123,423,109,1047,135
1400000US36001013300,36001013300,"Census Tract 133, Albany County, New York",2100,150,741,153,1359,198
1400000US36001013400,36001013400,"Census Tract 134, Albany County, New York",1016,93,472,86,544,119
1400000US36001013503,36001013503,"Census Tract 135.03, Albany County, New York",2056,123,1238,107,818,148
1400000US36001013505,36001013505,"Census Tract 135.05, Albany County, New York",928,64,781,67,147,71
1400000US36001013506,36001013506,"Census Tract 135.06, Albany County, New York",2757,110,1642,154,1115,165
1400000US36001013507,36001013507,"Census Tract 135.07, Albany County, New York",997,65,612,70,385,80
1400000US36001013508,36001013508,"Census Tract 135.08, Albany County, New York",2587,113,2061,140,526,170
1400000US36001013601,36001013601,"Census Tract 136.01, Albany County, New York",3364,164,1751,145,1613,172
1400000US36001013602,36001013602,"Census Tract 136.02, Albany County, New York",1911,162,631,116,1280,157
1400000US36001013703,36001013703,"Census Tract 137.03, Albany County, New York",592,34,535,36,57,25
1400000US36001013705,36001013705,"Census Tract 137.05, Albany County, New York",2817,121,2163,164,654,153
1400000US36001013706,36001013706,"Census Tract 137.06, Albany County, New York",743,39,688,42,55,30
