Name of Center,Center Address,State,Postcode,Telephone Number,Community Board,Council District ,Census Tract,BIN,BBL,NTA,Borough
Bronx-Lebanon Hospital Center,"1276 Fulton Avenue, Suite 401-402",NY,10456,(718) 466-6072,3,16,149,2004246,2026120007,Morrisania-Melrose                                                         ,Bronx
Comprehensive Family Care Center,1265 Franklin Avenue,NY,10456,(718) 579-2500 ,3,16,149,2004246,2026120007,Morrisania-Melrose                                                         ,Bronx
Dr. Martin Luther King Jr. Health Center,(Montefiore) 1621 Eastchester Road,NY,10461,(718) 503-7714 ,,,,,,,Bronx
Montefiore Family Health Center,360 East 193rd Street,NY,10458, (718) 933-2400,7,15,39901,2016318,2032750040,Bedford Park-Fordham North                                                 ,Bronx
Montefiore Medical Group Comprehensive HCC,305 East 161st Street,NY,10451,(718) 579-2597 ,4,17,173,2115808,2024210045,East Concourse-Concourse Village                                           ,Bronx
Morris Heights Health Center,Morris Heights Health Center,NY,10453,(718) 716-4400 ,,,,,,,Bronx
Soundview Health Center,731 White Plains Road,NY,10473,(718) 589-2232 ,9,18,16,2092716,2036000004,Soundview-Castle Hill-Clason Point-Harding Park                            ,Bronx
Urban Health Plan,1065 Southern Boulevard,NY,10459, (718) 991-4833,2,17,12701,2114609,2027270058,Hunts Point                                                                ,Bronx
Bedford/Stuyvesant Family Health Center,1413 Fulton Street,NY,11216,(718) 636-4500,3,36,269,3053469,3018540052,Bedford                                                                    ,Brooklyn
Brooklyn Plaza Medical Center,650 Fulton Street,NY,11217,(718) 596-9896,2,35,35,3059247,3021130022,Fort Greene                                                                ,Brooklyn
Brownsville Multi-Service Family Health Center,592 Rockaway Avenue,NY,11212,(718) 345-5000 ,16,41,924,3081790,3035600026,Brownsville                                                                ,Brooklyn
Community Health Care Network - CABS Health Center,94-98 Manhattan Ave.,NY,11206,(718) 388-0390,1,34,505,3071335,3030790006,East Williamsburg                                                          ,Brooklyn
Community Health Care Network ,Caribbean House Health Center,NY,11225,(718) 778-0198 ,,,,,,,Brooklyn
Community Health Care Network ,Dr. Betty Shabazz Health Center,NY,11208,(718) 277-8303 ,,,,,,,Brooklyn
