NameofCenter,CenterAddress,State,Postcode,TelephoneNumber,CommunityBoard,CouncilDistrict,CensusTract,BIN,BBL,NTA,Borough,AUTO_UNIQUE_ID_2019-09-23_ebrelsford_Community_Heal,Source,UpdatedGeocoding,TimeTaken,TransactionId,Version,ErrorMessage,Latitude,Longitude,MatchType,MatchedLocationType,FeatureMatchingResultType,InterpolationType,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,GeocodeQualityType,FeatureMatchingHierarchy,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,FeatureMatchingResultTypeTieBreakingNotes,TieHandlingStrategyType,RegionSize,RegionSizeUnits,naaccrQualCode,naaccrQualType
Bronx-Lebanon Hospital Center,"1276 Fulton Avenue, Suite 401-402",NY,10456,(718) 466-6072,3,16,149,2004246,2026120007,Morrisania-Melrose                                                         ,Bronx,1,USCGeocoder,1,218.8054,,4.1,,40.8316,-73.9035,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,99,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,0,AddressPoint
Comprehensive Family Care Center,1265 Franklin Avenue,NY,10456,(718) 579-2500 ,3,16,149,2004246,2026120007,Morrisania-Melrose                                                         ,Bronx,2,USCGeocoder,1,203.4507,,4.1,,40.8312,-73.9027,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,99,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,0,AddressPoint
Dr. Martin Luther King Jr. Health Center,(Montefiore) 1621 Eastchester Road,NY,10461,(718) 503-7714 ,,,,,,,Bronx,3,USCGeocoder,1,15.6188,,4.1,,40.8474348266876,-73.8405540742845,Relaxed;Soundex,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,ZCTA,60,ZCTACentroid,FeatureClassBased,,,1,,ReturnAll,6215140.40970582,Meters,9,AddressZIPCentroid
Montefiore Family Health Center,360 East 193rd Street,NY,10458, (718) 933-2400,7,15,39901,2016318,2032750040,Bedford Park-Fordham North                                                 ,Bronx,4,USCGeocoder,1,296.8941,,4.1,,40.8630409212424,-73.8909672235975,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,99.8994082840237,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,2775.2779436768,Meters,3,StreetSegmentInterpolation
Montefiore Medical Group Comprehensive HCC,305 East 161st Street,NY,10451,(718) 579-2597 ,4,17,173,2115808,2024210045,East Concourse-Concourse Village                                           ,Bronx,5,USCGeocoder,1,296.6608,,4.1,,40.8252686,-73.9169849,Relaxed;Soundex,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,96,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,0,AddressPoint
Morris Heights Health Center,Morris Heights Health Center,NY,10453,(718) 716-4400 ,,,,,,,Bronx,6,USCGeocoder,1,0,,4.1,,40.8522917554867,-73.9135344759582,Relaxed;Soundex,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,ZCTA,60,ZCTACentroid,FeatureClassBased,,,1,,ReturnAll,2385135.15155841,Meters,9,AddressZIPCentroid
Soundview Health Center,731 White Plains Road,NY,10473,(718) 589-2232 ,9,18,16,2092716,2036000004,Soundview-Castle Hill-Clason Point-Harding Park                            ,Bronx,7,USCGeocoder,1,265.6064,,4.1,,40.8203,-73.8581,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,99,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,0,AddressPoint
Urban Health Plan,1065 Southern Boulevard,NY,10459, (718) 991-4833,2,17,12701,2114609,2027270058,Hunts Point                                                                ,Bronx,8,USCGeocoder,1,203.2127,,4.1,,40.825,-73.8921,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,99,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,0,AddressPoint
Bedford/Stuyvesant Family Health Center,1413 Fulton Street,NY,11216,(718) 636-4500,3,36,269,3053469,3018540052,Bedford                                                                    ,Brooklyn,9,USCGeocoder,1,437.7082,,4.1,,40.6802,-73.9446,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Ambiguous,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,96,AddressPoint,FeatureClassBased,,,2,,ReturnAll,0,Meters,0,AddressPoint
Brooklyn Plaza Medical Center,650 Fulton Street,NY,11217,(718) 596-9896,2,35,35,3059247,3021130022,Fort Greene                                                                ,Brooklyn,10,USCGeocoder,1,546.8049,,4.1,,40.6868,-73.9761,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Ambiguous,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,96,AddressPoint,FeatureClassBased,,,2,,ReturnAll,0,Meters,0,AddressPoint
Brownsville Multi-Service Family Health Center,592 Rockaway Avenue,NY,11212,(718) 345-5000 ,16,41,924,3081790,3035600026,Brownsville                                                                ,Brooklyn,11,USCGeocoder,1,515.6067,,4.1,,40.6654,-73.9098,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Ambiguous,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,96,AddressPoint,FeatureClassBased,,,2,,ReturnAll,0,Meters,0,AddressPoint
Community Health Care Network - CABS Health Center,94-98 Manhattan Ave.,NY,11206,(718) 388-0390,1,34,505,3071335,3030790006,East Williamsburg                                                          ,Brooklyn,12,USCGeocoder,1,578.1217,,4.1,,40.7055533106815,-73.9442899381401,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,93.6331360946746,ExactParcelCentroidPoint,FeatureClassBased,,,1,,ReturnAll,278.430438958108,Meters,2,Parcel
Community Health Care Network ,Caribbean House Health Center,NY,11225,(718) 778-0198 ,,,,,,,Brooklyn,13,USCGeocoder,1,0,,4.1,,40.6630459639047,-73.9542191950359,Relaxed;Soundex,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,ZCTA,60,ZCTACentroid,FeatureClassBased,,,1,,ReturnAll,2289247.28760278,Meters,9,AddressZIPCentroid
Community Health Care Network ,Dr. Betty Shabazz Health Center,NY,11208,(718) 277-8303 ,,,,,,,Brooklyn,14,USCGeocoder,1,0,,4.1,,40.6691540599153,-73.871368547465,Relaxed;Soundex,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,ZCTA,60,ZCTACentroid,FeatureClassBased,,,1,,ReturnAll,9251522.31694937,Meters,9,AddressZIPCentroid
